id,name,short_description,full_description,benefit_amount,eligibility_json,required_documents,application_link,helpline,issuing_body,category,last_verified,created_at
11,Yeshasvini Cooperative Farmers Health Care Scheme,Health scheme for farmers belonging to cooperative societies in Karnataka.,Provides cost effective medical facilities to the farmers of the State who are members of cooperative societies. Covers various surgical procedures.,Up to ₹2 Lakh for surgery,"{""min_age"": 0, ""max_age"": 75, ""states"": [""Karnataka""], ""income_max"": null, ""categories"": [""surgery"", ""general""], ""conditions"": [""member of cooperative society"", ""farmer""]}","[""Cooperative Society Membership Proof"", ""Yeshasvini Card"", ""Aadhaar Card""]",https://sahakara.kar.gov.in/yeshasvini.html,1800 425 8330,"Dept of Cooperation, Karnataka",state,2026-04-25,2026-04-25 07:41:40
12,Biju Swasthya Kalyan Yojana (BSKY),Universal health coverage for the people of Odisha.,"BSKY aims to provide universal health coverage, with special emphasis on the health protection of economically vulnerable families. Free health services for all in State Govt hospitals.",Up to ₹5 Lakh/year (₹10 Lakh for women),"{""min_age"": 0, ""max_age"": 120, ""states"": [""Odisha""], ""income_max"": null, ""categories"": [""general"", ""maternal"", ""pediatric"", ""cardiac"", ""cancer"", ""accident""], ""conditions"": [""BPL"", ""AAY"", ""ration card holder""]}","[""Biju Swasthya Kalyan Yojana Card"", ""Ration Card"", ""Aadhaar Card""]",https://health.odisha.gov.in/biju-swasthya-kalyan-yojana,104,Govt of Odisha,state,2026-04-25,2026-04-25 07:41:40
13,Mukhyamantri Amrutum (MA) Yojana,Health coverage for BPL families in Gujarat.,"To ensure that the poor families in Gujarat are not pushed into poverty due to out-of-pocket health expenditure for catastrophic illnesses, the MA Yojana provides tertiary care.",Up to ₹5 Lakh / year,"{""min_age"": 0, ""max_age"": 120, ""states"": [""Gujarat""], ""income_max"": 400000, ""categories"": [""general"", ""cardiac"", ""cancer"", ""renal"", ""neuro""], ""conditions"": []}","[""MA Card"", ""Income Certificate"", ""Aadhaar Card""]",https://magujarat.com/,1800 233 1022,Govt of Gujarat,state,2026-04-25,2026-04-25 07:41:40
14,Bhamashah Swasthya Bima Yojana,Health insurance for families covered under NFSA in Rajasthan.,"Provides cashless facility for IPD patients, reduces out-of-pocket expenditure, and improves quality of care to the poor in Rajasthan.",Up to ₹3 Lakh,"{""min_age"": 0, ""max_age"": 120, ""states"": [""Rajasthan""], ""income_max"": null, ""categories"": [""general"", ""cardiac"", ""cancer"", ""maternal""], ""conditions"": [""NFSA beneficiary"", ""Bhamashah card holder""]}","[""Bhamashah Card"", ""Aadhaar Card"", ""Ration Card""]",https://health.rajasthan.gov.in/,104,Govt of Rajasthan,state,2026-04-25,2026-04-25 07:41:40
15,Swasthya Sathi,Basic health cover for secondary and tertiary care in West Bengal.,Swasthya Sathi is a Group Health Insurance Scheme providing basic health cover for secondary and tertiary care up to Rs. 5 Lakh per annum per family.,Up to ₹5 Lakh / year,"{""min_age"": 0, ""max_age"": 120, ""states"": [""West Bengal""], ""income_max"": null, ""categories"": [""general"", ""cardiac"", ""cancer"", ""maternal""], ""conditions"": []}","[""Swasthya Sathi Smart Card"", ""Aadhaar Card""]",https://swasthyasathi.gov.in/,1800 345 5384,Govt of West Bengal,state,2026-04-25,2026-04-25 07:41:40
16,Delhi Arogya Kosh (DAK),Financial assistance for medical treatment in Delhi.,"DAK provides financial assistance for medical treatment to the eligible residents of Delhi in Government Hospitals. Covers surgeries, implants, and high-end diagnostic tests.",Up to ₹5 Lakh,"{""min_age"": 0, ""max_age"": 120, ""states"": [""Delhi""], ""income_max"": 300000, ""categories"": [""surgery"", ""diagnostics"", ""implants""], ""conditions"": [""resident of Delhi for 3 years""]}","[""Voter ID/Aadhaar (Delhi address)"", ""Income Certificate"", ""National Food Security Card"", ""Estimate from Delhi Govt Hospital""]",https://health.delhi.gov.in/,104,Govt of NCT of Delhi,state,2026-04-25,2026-04-25 07:41:40
17,Prime Minister's National Relief Fund (PMNRF) - Medical Assistance,Financial assistance to poor patients for treatment at govt/private hospitals.,"The PMNRF provides financial assistance to poor patients for treatment of major diseases at government and selected private hospitals. It covers diseases like cancer, heart surgery, kidney transplant, etc.",Varies (Financial assistance),"{""min_age"": 0, ""max_age"": 120, ""states"": [], ""income_max"": 200000, ""categories"": [""cancer"", ""cardiac"", ""kidney"", ""acid attack""], ""conditions"": [""insufficient funds for treatment""]}","[""Application to PMO"", ""Original Medical Estimate"", ""Income Certificate"", ""Copy of Ration Card/Aadhaar""]",https://pmnrf.gov.in/,011-23012312,Prime Minister's Office,central,2026-04-25,2026-04-25 07:41:40
18,Health Minister's Cancer Patient Fund (HMCPF),Financial assistance to BPL cancer patients.,A corpus fund created to provide financial assistance to poor patients suffering from cancer. It is utilized for patients receiving treatment in Regional Cancer Centres.,Financial assistance for cancer treatment,"{""min_age"": 0, ""max_age"": 120, ""states"": [], ""income_max"": 100000, ""categories"": [""cancer""], ""conditions"": [""BPL""]}","[""BPL Card"", ""Income Certificate"", ""Medical Reports"", ""Estimate from Regional Cancer Centre""]",https://main.mohfw.gov.in/,011-23061695,Ministry of Health & Family Welfare,central,2026-04-25,2026-04-25 07:41:40
19,Aam Aadmi Bima Yojana (AABY),Social security scheme for rural landless households.,"A social security scheme for rural landless households providing insurance cover against natural death, accidental death, and partial/permanent disability.","₹30,000 to ₹75,000","{""min_age"": 18, ""max_age"": 59, ""states"": [], ""income_max"": 100000, ""categories"": [""accident"", ""disability"", ""death""], ""conditions"": [""rural landless household"", ""head of family or earning member""]}","[""Aadhaar Card"", ""Ration Card"", ""Extract from Gram Panchayat"", ""Death/Disability Certificate""]",https://licindia.in/,1800 425 9876,LIC / Govt of India,insurance,2026-04-25,2026-04-25 07:41:40
20,Deen Dayal Upadhyaya State Employees Cashless Medical Scheme,Cashless medical scheme for UP state govt employees.,"Cashless medical treatment facility for State Government employees, pensioners and their dependents in Uttar Pradesh at empanelled private and government hospitals.",Cashless treatment up to Rs 5 Lakh,"{""min_age"": 0, ""max_age"": 120, ""states"": [""Uttar Pradesh""], ""income_max"": null, ""categories"": [""general"", ""cardiac"", ""cancer"", ""accident""], ""conditions"": [""state government employee"", ""pensioner""]}","[""State Health Card"", ""Aadhaar Card"", ""Employee ID/Pensioner ID""]",http://uphealth.up.nic.in/,1800 180 5145,Govt of Uttar Pradesh,state,2026-04-25,2026-04-25 07:41:40
